Feat0,Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,Feat8,Feat9,Feat10,Feat11,Feat12,target
13.640,3.100,2.560,15.200,116,2.700,3.030,0.170,1.660,5.100,0.960,3.360,845,1
12.600,2.460,2.200,18.500,94,1.620,0.660,0.630,0.940,7.100,0.730,1.580,695,3
11.960,1.090,2.300,21.000,101,3.380,2.140,0.130,1.650,3.210,0.990,3.130,886,2
12.250,3.880,2.200,18.500,112,1.380,0.780,0.290,1.140,8.210,0.650,2.000,855,3
14.300,1.920,2.720,20.000,120,2.800,3.140,0.330,1.970,6.200,1.070,2.650,1280,1
12.880,2.990,2.400,20.000,104,1.300,1.220,0.240,0.830,5.400,0.740,1.420,530,3
13.490,3.590,2.190,19.500,88,1.620,0.480,0.580,0.880,5.700,0.810,1.820,580,3
13.560,1.710,2.310,16.200,117,3.150,3.290,0.340,2.340,6.130,0.950,3.380,795,1
14.340,1.680,2.700,25.000,98,2.800,1.310,0.530,2.700,13.000,0.570,1.960,660,3
13.710,1.860,2.360,16.600,101,2.610,2.880,0.270,1.690,3.800,1.110,4.000,1035,1
12.220,1.290,1.940,19.000,92,2.360,2.040,0.390,2.080,2.700,0.860,3.020,312,2
13.270,4.280,2.260,20.000,120,1.590,0.690,0.430,1.350,10.200,0.590,1.560,835,3
13.160,3.570,2.150,21.000,102,1.500,0.550,0.430,1.300,4.000,0.600,1.680,830,3
13.860,1.510,2.670,25.000,86,2.950,2.860,0.210,1.870,3.380,1.360,3.160,410,2
12.850,3.270,2.580,22.000,106,1.650,0.600,0.600,0.960,5.580,0.870,2.110,570,3
13.840,4.120,2.380,19.500,89,1.800,0.830,0.480,1.560,9.010,0.570,1.640,480,3
13.300,1.720,2.140,17.000,94,2.400,2.190,0.270,1.350,3.950,1.020,2.770,1285,1
13.050,3.860,2.320,22.500,85,1.650,1.590,0.610,1.620,4.800,0.840,2.010,515,2
12.510,1.240,2.250,17.500,85,2.000,0.580,0.600,1.250,5.450,0.750,1.510,650,3
12.290,1.410,1.980,16.000,85,2.550,2.500,0.290,1.770,2.900,1.230,2.740,428,2
12.770,3.430,1.980,16.000,80,1.630,1.250,0.430,0.830,3.400,0.700,2.120,372,2
12.960,3.450,2.350,18.500,106,1.390,0.700,0.400,0.940,5.280,0.680,1.750,675,3
13.670,1.250,1.920,18.000,94,2.100,1.790,0.320,0.730,3.800,1.230,2.460,630,2
13.160,2.360,2.670,18.600,101,2.800,3.240,0.300,2.810,5.680,1.030,3.170,1185,1
12.370,0.940,1.360,10.600,88,1.980,0.570,0.280,0.420,1.950,1.050,1.820,520,2
12.470,1.520,2.200,19.000,162,2.500,2.270,0.320,3.280,2.600,1.160,2.630,937,2
11.810,2.120,2.740,21.500,134,1.600,0.990,0.140,1.560,2.500,0.950,2.260,625,2
13.240,3.980,2.290,17.500,103,2.640,2.630,0.320,1.660,4.360,0.820,3.000,680,1
14.100,2.160,2.300,18.000,105,2.950,3.320,0.220,2.380,5.750,1.250,3.170,1510,1
11.610,1.350,2.700,20.000,94,2.740,2.920,0.290,2.490,2.650,0.960,3.260,680,2
12.990,1.670,2.600,30.000,139,3.300,2.890,0.210,1.960,3.350,1.310,3.500,985,2
12.770,2.390,2.280,19.500,86,1.390,0.510,0.480,0.640,9.900,0.570,1.630,470,3
13.480,1.670,2.640,22.500,89,2.600,1.100,0.520,2.290,11.750,0.570,1.780,620,3
11.460,3.740,1.820,19.500,107,3.180,2.580,0.240,3.580,2.900,0.750,2.810,562,2
12.070,2.160,2.170,21.000,85,2.600,2.650,0.370,1.350,2.760,0.860,3.280,378,2
11.820,1.470,1.990,20.800,86,1.980,1.600,0.300,1.530,1.950,0.950,3.330,495,2
13.450,3.700,2.600,23.000,111,1.700,0.920,0.430,1.460,10.680,0.850,1.560,695,3
12.200,3.030,2.320,19.000,96,1.250,0.490,0.400,0.730,5.500,0.660,1.830,510,3
13.050,1.730,2.040,12.400,92,2.720,3.270,0.170,2.910,7.200,1.120,2.910,1150,1
13.170,5.190,2.320,22.000,93,1.740,0.630,0.610,1.550,7.900,0.600,1.480,725,3
12.080,1.330,2.300,23.600,70,2.200,1.590,0.420,1.380,1.740,1.070,3.210,625,2
12.170,1.450,2.530,19.000,104,1.890,1.750,0.450,1.030,2.950,1.450,2.230,355,2
12.420,4.430,2.730,26.500,102,2.200,2.130,0.430,1.710,2.080,0.920,3.120,365,2
11.870,4.310,2.390,21.000,82,2.860,3.030,0.210,2.910,2.800,0.750,3.640,380,2
12.210,1.190,1.750,16.800,151,1.850,1.280,0.140,2.500,2.850,1.280,3.070,718,2
13.940,1.730,2.270,17.400,108,2.880,3.540,0.320,2.080,8.900,1.120,3.100,1260,1
14.100,2.020,2.400,18.800,103,2.750,2.920,0.320,2.380,6.200,1.070,2.750,1060,1
12.670,0.980,2.240,18.000,99,2.200,1.940,0.300,1.460,2.620,1.230,3.160,450,2
14.750,1.730,2.390,11.400,91,3.100,3.690,0.430,2.810,5.400,1.250,2.730,1150,1
12.250,4.720,2.540,21.000,89,1.380,0.470,0.530,0.800,3.850,0.750,1.270,720,3
12.850,1.600,2.520,17.800,95,2.480,2.370,0.260,1.460,3.930,1.090,3.630,1015,1
13.730,4.360,2.260,22.500,88,1.280,0.470,0.520,1.150,6.620,0.780,1.750,520,3
14.060,1.630,2.280,16.000,126,3.000,3.170,0.240,2.100,5.650,1.090,3.710,780,1
