Feat0,Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,Feat8,Feat9,Feat10,Feat11,Feat12,target
12.290,2.830,2.220,18.000,88,2.450,2.250,0.250,1.990,2.150,1.150,3.300,290,2
14.120,1.480,2.320,16.800,95,2.200,2.430,0.260,1.570,5.000,1.170,2.820,1280,1
13.230,3.300,2.280,18.500,98,1.800,0.830,0.610,1.870,10.520,0.560,1.510,675,3
11.960,1.090,2.300,21.000,101,3.380,2.140,0.130,1.650,3.210,0.990,3.130,886,2
12.850,3.270,2.580,22.000,106,1.650,0.600,0.600,0.960,5.580,0.870,2.110,570,3
13.830,1.570,2.620,20.000,115,2.950,3.400,0.400,1.720,6.600,1.130,2.570,1130,1
13.170,5.190,2.320,22.000,93,1.740,0.630,0.610,1.550,7.900,0.600,1.480,725,3
14.160,2.510,2.480,20.000,91,1.680,0.700,0.440,1.240,9.700,0.620,1.710,660,3
12.430,1.530,2.290,21.500,86,2.740,3.150,0.390,1.770,3.940,0.690,2.840,352,2
13.480,1.810,2.410,20.500,100,2.700,2.980,0.260,1.860,5.100,1.040,3.470,920,1
14.060,1.630,2.280,16.000,126,3.000,3.170,0.240,2.100,5.650,1.090,3.710,780,1
12.510,1.240,2.250,17.500,85,2.000,0.580,0.600,1.250,5.450,0.750,1.510,650,3
12.340,2.450,2.460,21.000,98,2.560,2.110,0.340,1.310,2.800,0.800,3.380,438,2
12.250,1.730,2.120,19.000,80,1.650,2.030,0.370,1.630,3.400,1.000,3.170,510,2
13.880,1.890,2.590,15.000,101,3.250,3.560,0.170,1.700,5.430,0.880,3.560,1095,1
12.370,1.210,2.560,18.100,98,2.420,2.650,0.370,2.080,4.600,1.190,2.300,678,2
12.470,1.520,2.200,19.000,162,2.500,2.270,0.320,3.280,2.600,1.160,2.630,937,2
12.880,2.990,2.400,20.000,104,1.300,1.220,0.240,0.830,5.400,0.740,1.420,530,3
13.280,1.640,2.840,15.500,110,2.600,2.680,0.340,1.360,4.600,1.090,2.780,880,1
12.290,3.170,2.210,18.000,88,2.850,2.990,0.450,2.810,2.300,1.420,2.830,406,2
13.290,1.970,2.680,16.800,102,3.000,3.230,0.310,1.660,6.000,1.070,2.840,1270,1
12.820,3.370,2.300,19.500,88,1.480,0.660,0.400,0.970,10.260,0.720,1.750,685,3
12.420,1.610,2.190,22.500,108,2.000,2.090,0.340,1.610,2.060,1.060,2.960,345,2
12.860,1.350,2.320,18.000,122,1.510,1.250,0.210,0.940,4.100,0.760,1.290,630,3
12.700,3.550,2.360,21.500,106,1.700,1.200,0.170,0.840,5.000,0.780,1.290,600,3
13.500,3.120,2.620,24.000,123,1.400,1.570,0.220,1.250,8.600,0.590,1.300,500,3
12.960,3.450,2.350,18.500,106,1.390,0.700,0.400,0.940,5.280,0.680,1.750,675,3
13.500,1.810,2.610,20.000,96,2.530,2.610,0.280,1.660,3.520,1.120,3.820,845,1
13.050,1.770,2.100,17.000,107,3.000,3.000,0.280,2.030,5.040,0.880,3.350,885,1
14.830,1.640,2.170,14.000,97,2.800,2.980,0.290,1.980,5.200,1.080,2.850,1045,1
14.220,1.700,2.300,16.300,118,3.200,3.000,0.260,2.030,6.380,0.940,3.310,970,1
13.710,1.860,2.360,16.600,101,2.610,2.880,0.270,1.690,3.800,1.110,4.000,1035,1
12.420,2.550,2.270,22.000,90,1.680,1.840,0.660,1.420,2.700,0.860,3.300,315,2
12.690,1.530,2.260,20.700,80,1.380,1.460,0.580,1.620,3.050,0.960,2.060,495,2
13.450,3.700,2.600,23.000,111,1.700,0.920,0.430,1.460,10.680,0.850,1.560,695,3
13.080,3.900,2.360,21.500,113,1.410,1.390,0.340,1.140,9.400,0.570,1.330,550,3
12.990,1.670,2.600,30.000,139,3.300,2.890,0.210,1.960,3.350,1.310,3.500,985,2
13.750,1.730,2.410,16.000,89,2.600,2.760,0.290,1.810,5.600,1.150,2.900,1320,1
13.400,4.600,2.860,25.000,112,1.980,0.960,0.270,1.110,8.500,0.670,1.920,630,3
