Feat0,Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,Feat8,Feat9,Feat10,Feat11,Feat12,target
13.200,1.780,2.140,11.200,100,2.650,2.760,0.260,1.280,4.380,1.050,3.400,1050,1
13.270,4.280,2.260,20.000,120,1.590,0.690,0.430,1.350,10.200,0.590,1.560,835,3
14.130,4.100,2.740,24.500,96,2.050,0.760,0.560,1.350,9.200,0.610,1.600,560,3
13.240,2.590,2.870,21.000,118,2.800,2.690,0.390,1.820,4.320,1.040,2.930,735,1
11.620,1.990,2.280,18.000,98,3.020,2.260,0.170,1.350,3.250,1.160,2.960,345,2
14.200,1.760,2.450,15.200,112,3.270,3.390,0.340,1.970,6.750,1.050,2.850,1450,1
12.510,1.730,1.980,20.500,85,2.200,1.920,0.320,1.480,2.940,1.040,3.570,672,2
11.760,2.680,2.920,20.000,103,1.750,2.030,0.600,1.050,3.800,1.230,2.500,607,2
12.290,2.830,2.220,18.000,88,2.450,2.250,0.250,1.990,2.150,1.150,3.300,290,2
14.210,4.040,2.440,18.900,111,2.850,2.650,0.300,1.250,5.240,0.870,3.330,1080,1
11.660,1.880,1.920,16.000,97,1.610,1.570,0.340,1.150,3.800,1.230,2.140,428,2
12.600,2.460,2.200,18.500,94,1.620,0.660,0.630,0.940,7.100,0.730,1.580,695,3
13.580,2.580,2.690,24.500,105,1.550,0.840,0.390,1.540,8.660,0.740,1.800,750,3
13.160,3.570,2.150,21.000,102,1.500,0.550,0.430,1.300,4.000,0.600,1.680,830,3
13.280,1.640,2.840,15.500,110,2.600,2.680,0.340,1.360,4.600,1.090,2.780,880,1
13.770,1.900,2.680,17.100,115,3.000,2.790,0.390,1.680,6.300,1.130,2.930,1375,1
13.240,3.980,2.290,17.500,103,2.640,2.630,0.320,1.660,4.360,0.820,3.000,680,1
13.030,0.900,1.710,16.000,86,1.950,2.030,0.240,1.460,4.600,1.190,2.480,392,2
12.000,1.510,2.420,22.000,86,1.450,1.250,0.500,1.630,3.600,1.050,2.650,450,2
13.050,5.800,2.130,21.500,86,2.620,2.650,0.300,2.010,2.600,0.730,3.100,380,2
13.320,3.240,2.380,21.500,92,1.930,0.760,0.450,1.250,8.420,0.550,1.620,650,3
14.750,1.730,2.390,11.400,91,3.100,3.690,0.430,2.810,5.400,1.250,2.730,1150,1
13.170,5.190,2.320,22.000,93,1.740,0.630,0.610,1.550,7.900,0.600,1.480,725,3
14.230,1.710,2.430,15.600,127,2.800,3.060,0.280,2.290,5.640,1.040,3.920,1065,1
13.680,1.830,2.360,17.200,104,2.420,2.690,0.420,1.970,3.840,1.230,2.870,990,1
13.880,5.040,2.230,20.000,80,0.980,0.340,0.400,0.680,4.900,0.580,1.330,415,3
12.080,1.830,2.320,18.500,81,1.600,1.500,0.520,1.640,2.400,1.080,2.270,480,2
13.480,1.670,2.640,22.500,89,2.600,1.100,0.520,2.290,11.750,0.570,1.780,620,3
13.050,1.730,2.040,12.400,92,2.720,3.270,0.170,2.910,7.200,1.120,2.910,1150,1
12.810,2.310,2.400,24.000,98,1.150,1.090,0.270,0.830,5.700,0.660,1.360,560,3
12.450,3.030,2.640,27.000,97,1.900,0.580,0.630,1.140,7.500,0.670,1.730,880,3
12.530,5.510,2.640,25.000,96,1.790,0.600,0.630,1.100,5.000,0.820,1.690,515,3
11.810,2.120,2.740,21.500,134,1.600,0.990,0.140,1.560,2.500,0.950,2.260,625,2
13.940,1.730,2.270,17.400,108,2.880,3.540,0.320,2.080,8.900,1.120,3.100,1260,1
13.560,1.710,2.310,16.200,117,3.150,3.290,0.340,2.340,6.130,0.950,3.380,795,1
12.580,1.290,2.100,20.000,103,1.480,0.580,0.530,1.400,7.600,0.580,1.550,640,3
12.220,1.290,1.940,19.000,92,2.360,2.040,0.390,2.080,2.700,0.860,3.020,312,2
13.580,1.660,2.360,19.100,106,2.860,3.190,0.220,1.950,6.900,1.090,2.880,1515,1
11.610,1.350,2.700,20.000,94,2.740,2.920,0.290,2.490,2.650,0.960,3.260,680,2
12.360,3.830,2.380,21.000,88,2.300,0.920,0.500,1.040,7.650,0.560,1.580,520,3
11.650,1.670,2.620,26.000,88,1.920,1.610,0.400,1.340,2.600,1.360,3.210,562,2
13.080,3.900,2.360,21.500,113,1.410,1.390,0.340,1.140,9.400,0.570,1.330,550,3
12.720,1.750,2.280,22.500,84,1.380,1.760,0.480,1.630,3.300,0.880,2.420,488,2
12.330,1.100,2.280,16.000,101,2.050,1.090,0.630,0.410,3.270,1.250,1.670,680,2
12.670,0.980,2.240,18.000,99,2.200,1.940,0.300,1.460,2.620,1.230,3.160,450,2
13.410,3.840,2.120,18.800,90,2.450,2.680,0.270,1.480,4.280,0.910,3.000,1035,1
12.330,0.990,1.950,14.800,136,1.900,1.850,0.350,2.760,3.400,1.060,2.310,750,2
14.220,1.700,2.300,16.300,118,3.200,3.000,0.260,2.030,6.380,0.940,3.310,970,1
12.210,1.190,1.750,16.800,151,1.850,1.280,0.140,2.500,2.850,1.280,3.070,718,2
13.500,1.810,2.610,20.000,96,2.530,2.610,0.280,1.660,3.520,1.120,3.820,845,1
11.820,1.470,1.990,20.800,86,1.980,1.600,0.300,1.530,1.950,0.950,3.330,495,2
13.830,1.650,2.600,17.200,94,2.450,2.990,0.220,2.290,5.600,1.240,3.370,1265,1
12.250,3.880,2.200,18.500,112,1.380,0.780,0.290,1.140,8.210,0.650,2.000,855,3
12.160,1.610,2.310,22.800,90,1.780,1.690,0.430,1.560,2.450,1.330,2.260,495,2
12.860,1.350,2.320,18.000,122,1.510,1.250,0.210,0.940,4.100,0.760,1.290,630,3
14.220,3.990,2.510,13.200,128,3.000,3.040,0.200,2.080,5.100,0.890,3.530,760,1
12.070,2.160,2.170,21.000,85,2.600,2.650,0.370,1.350,2.760,0.860,3.280,378,2
12.080,1.130,2.510,24.000,78,2.000,1.580,0.400,1.400,2.200,1.310,2.720,630,2
12.420,4.430,2.730,26.500,102,2.200,2.130,0.430,1.710,2.080,0.920,3.120,365,2
13.050,2.050,3.220,25.000,124,2.630,2.680,0.470,1.920,3.580,1.130,3.200,830,1
13.820,1.750,2.420,14.000,111,3.880,3.740,0.320,1.870,7.050,1.010,3.260,1190,1
12.370,0.940,1.360,10.600,88,1.980,0.570,0.280,0.420,1.950,1.050,1.820,520,2
12.370,1.070,2.100,18.500,88,3.520,3.750,0.240,1.950,4.500,1.040,2.770,660,2
13.640,3.100,2.560,15.200,116,2.700,3.030,0.170,1.660,5.100,0.960,3.360,845,1
13.480,1.810,2.410,20.500,100,2.700,2.980,0.260,1.860,5.100,1.040,3.470,920,1
11.790,2.130,2.780,28.500,92,2.130,2.240,0.580,1.760,3.000,0.970,2.440,466,2
13.730,1.500,2.700,22.500,101,3.000,3.250,0.290,2.380,5.700,1.190,2.710,1285,1
11.560,2.050,3.230,28.500,119,3.180,5.080,0.470,1.870,6.000,0.930,3.690,465,2
13.780,2.760,2.300,22.000,90,1.350,0.680,0.410,1.030,9.580,0.700,1.680,615,3
